id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
488,488.00,5to1_0,5.10,0.00,0.00,578.00,1to4_1,489.60,11.40,90.00,994.90,14.00,1,0.00,28.84,0,tripinfo_488 routing_488,DEFAULT_VEHTYPE,1.09,
466,466.00,4to1_0,5.10,0.00,0.00,579.00,1to3_0,489.60,14.11,113.00,983.13,32.00,1,0.00,45.17,0,tripinfo_466 routing_466,DEFAULT_VEHTYPE,0.99,
474,474.00,4to1_0,5.10,0.00,0.00,579.00,1to3_1,489.60,14.64,105.00,983.13,26.00,1,0.00,41.17,0,tripinfo_474 routing_474,DEFAULT_VEHTYPE,1.04,
216,217.00,4to1_0,5.10,0.00,1.00,580.00,1to4_0,489.60,13.48,363.00,978.78,211.00,9,0.00,293.86,0,tripinfo_216 routing_216,DEFAULT_VEHTYPE,0.97,
496,496.00,4to1_0,5.10,0.00,0.00,580.00,1to5_0,489.60,16.37,84.00,994.90,9.00,1,0.00,23.20,0,tripinfo_496 routing_496,DEFAULT_VEHTYPE,1.11,
505,506.00,4to1_0,5.10,0.00,1.00,584.00,1to5_0,489.60,14.85,78.00,994.90,0.00,0,0.00,12.25,0,tripinfo_505 routing_505,DEFAULT_VEHTYPE,1.02,
503,503.00,5to1_0,5.10,0.00,0.00,586.00,1to2_1,489.60,13.71,83.00,983.13,0.00,0,0.00,12.56,0,tripinfo_503 routing_503,DEFAULT_VEHTYPE,0.96,
510,510.00,5to1_0,5.10,0.00,0.00,587.00,1to2_1,489.60,15.07,77.00,983.13,0.00,0,0.00,10.61,0,tripinfo_510 routing_510,DEFAULT_VEHTYPE,1.01,
459,459.00,5to1_0,5.10,0.00,0.00,588.00,1to2_0,489.60,10.84,129.00,983.13,31.00,1,0.00,42.60,0,tripinfo_459 routing_459,DEFAULT_VEHTYPE,0.77,
511,513.00,5to1_0,5.10,0.00,2.00,588.00,1to4_0,489.60,14.11,75.00,994.90,0.00,0,0.00,8.23,0,tripinfo_511 routing_511,DEFAULT_VEHTYPE,1.01,
218,220.00,4to1_0,5.10,0.00,2.00,589.00,1to2_1,489.60,14.99,369.00,993.46,215.00,9,0.00,306.00,0,tripinfo_218 routing_218,DEFAULT_VEHTYPE,1.07,
372,377.00,5to1_0,5.10,0.00,5.00,589.00,1to3_0,489.60,14.50,212.00,993.46,108.00,5,0.00,144.98,0,tripinfo_372 routing_372,DEFAULT_VEHTYPE,1.01,
374,380.00,5to1_0,5.10,0.00,6.00,591.00,1to5_0,489.60,13.16,211.00,978.78,100.00,5,0.00,140.30,0,tripinfo_374 routing_374,DEFAULT_VEHTYPE,0.93,
219,223.00,4to1_0,5.10,0.00,4.00,597.00,1to2_0,489.60,12.75,374.00,993.46,204.00,9,0.00,299.91,0,tripinfo_219 routing_219,DEFAULT_VEHTYPE,0.91,
229,229.00,4to1_0,5.10,0.00,0.00,597.00,1to4_0,489.60,13.80,368.00,978.78,197.00,8,0.00,300.84,0,tripinfo_229 routing_229,DEFAULT_VEHTYPE,0.99,
239,239.00,4to1_0,5.10,0.00,0.00,597.00,1to4_1,489.60,16.70,358.00,978.78,186.00,8,0.00,298.16,0,tripinfo_239 routing_239,DEFAULT_VEHTYPE,1.13,
517,518.00,4to1_0,5.10,0.00,1.00,597.00,1to5_0,489.60,12.48,79.00,994.90,0.00,0,0.00,5.97,0,tripinfo_517 routing_517,DEFAULT_VEHTYPE,0.92,
