time,id,programID,phase,state
99.00,n1,0,0,GGGggrrrrrGGGggrrrrr
100.00,n1,0,0,GGGggrrrrrGGGggrrrrr
101.00,n1,0,0,GGGggrrrrrGGGggrrrrr
102.00,n1,0,0,GGGggrrrrrGGGggrrrrr
103.00,n1,0,0,GGGggrrrrrGGGggrrrrr
104.00,n1,0,0,GGGggrrrrrGGGggrrrrr
105.00,n1,0,0,GGGggrrrrrGGGggrrrrr
106.00,n1,0,0,GGGggrrrrrGGGggrrrrr
107.00,n1,0,0,GGGggrrrrrGGGggrrrrr
108.00,n1,0,0,GGGggrrrrrGGGggrrrrr
109.00,n1,0,0,GGGggrrrrrGGGggrrrrr
110.00,n1,0,0,GGGggrrrrrGGGggrrrrr
111.00,n1,0,0,GGGggrrrrrGGGggrrrrr
112.00,n1,0,0,GGGggrrrrrGGGggrrrrr
113.00,n1,0,0,GGGggrrrrrGGGggrrrrr
114.00,n1,0,0,GGGggrrrrrGGGggrrrrr
115.00,n1,0,0,GGGggrrrrrGGGggrrrrr
116.00,n1,0,0,GGGggrrrrrGGGggrrrrr
117.00,n1,0,0,GGGggrrrrrGGGggrrrrr
118.00,n1,0,0,GGGggrrrrrGGGggrrrrr
119.00,n1,0,0,GGGggrrrrrGGGggrrrrr
120.00,n1,0,0,GGGggrrrrrGGGggrrrrr
121.00,n1,0,0,GGGggrrrrrGGGggrrrrr
122.00,n1,0,0,GGGggrrrrrGGGggrrrrr
123.00,n1,0,0,GGGggrrrrrGGGggrrrrr
124.00,n1,0,0,GGGggrrrrrGGGggrrrrr
125.00,n1,0,0,GGGggrrrrrGGGggrrrrr
126.00,n1,0,0,GGGggrrrrrGGGggrrrrr
127.00,n1,0,0,GGGggrrrrrGGGggrrrrr
128.00,n1,0,0,GGGggrrrrrGGGggrrrrr
129.00,n1,0,0,GGGggrrrrrGGGggrrrrr
130.00,n1,0,0,GGGggrrrrrGGGggrrrrr
131.00,n1,0,0,GGGggrrrrrGGGggrrrrr
132.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
133.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
134.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
135.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
136.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
137.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
138.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
139.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
140.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
141.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
142.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
143.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
144.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
145.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
146.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
147.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
148.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
149.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
150.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
151.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
152.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
153.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
154.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
155.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
156.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
157.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
158.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
159.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
160.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
161.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
162.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
163.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
164.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
165.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
166.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
167.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
